date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:10:41	110/110	---M-Z	200	added ('OK')	text/plain	date:Mon,%2023%20Jun%202025%2019:10:39%20GMT	https://thehaleef.com/robots.txt		(from )
23:10:42	157611/157611	---M-Z	200	added ('OK')	text/html	date:Mon,%2023%20Jun%202025%2019:10:39%20GMT	https://thehaleef.com/	/home/ali/websites/haleef/thehaleef.com/index.html	(from )
23:10:44	5842/5842	---MC-	200	added ('OK')	text/html	date:Mon,%2023%20Jun%202025%2019:10:44%20GMT	https://gmpg.org/xfn/11	/home/ali/websites/haleef/gmpg.org/xfn/11.html	(from https://thehaleef.com/)
23:10:44	5456/5456	---M-Z	200	added ('OK')	text/css	etag:%221550-637274cba72f1-gzip%22	https://thehaleef.com/wp-content/themes/hello-elementor/assets/css/reset.css?ver=3.4.4	/home/ali/websites/haleef/thehaleef.com/wp-content/themes/hello-elementor/assets/css/resetedb1.css	(from https://thehaleef.com/)
23:10:45	5097/5097	---M-Z	200	added ('OK')	text/css	etag:%2213e9-637274cba76d9-gzip%22	https://thehaleef.com/wp-content/themes/hello-elementor/assets/css/theme.css?ver=3.4.4	/home/ali/websites/haleef/thehaleef.com/wp-content/themes/hello-elementor/assets/css/themeedb1.css	(from https://thehaleef.com/)
23:10:46	1829/1829	---MC-	200	added ('OK')	application/rss+xml	etag:%22dad3d29d4f61fe576a1846c6bd5764f3%22	https://thehaleef.com/comments/feed/	/home/ali/websites/haleef/thehaleef.com/comments/feed/index.html	(from https://thehaleef.com/)
23:10:46	2082/2082	---MC-	200	added ('OK')	application/rss+xml	etag:%22dad3d29d4f61fe576a1846c6bd5764f3%22	https://thehaleef.com/feed/	/home/ali/websites/haleef/thehaleef.com/feed/index.html	(from https://thehaleef.com/)
23:10:46	7182/7182	---M-Z	200	added ('OK')	text/css	etag:%221c0e-637274cba6f09-gzip%22	https://thehaleef.com/wp-content/themes/hello-elementor/assets/css/header-footer.css?ver=3.4.4	/home/ali/websites/haleef/thehaleef.com/wp-content/themes/hello-elementor/assets/css/header-footeredb1.css	(from https://thehaleef.com/)
23:10:47	53358/53358	---M-Z	200	added ('OK')	text/css	etag:%22d06e-636c2bad179f9-gzip%22	https://thehaleef.com/wp-content/plugins/elementor/assets/css/frontend.min.css?ver=3.29.2	/home/ali/websites/haleef/thehaleef.com/wp-content/plugins/elementor/assets/css/frontend.min2801.css	(from https://thehaleef.com/)
23:10:48	1535/1535	---M-Z	200	added ('OK')	text/css	etag:%225ff-637f1884f562c-gzip%22	https://thehaleef.com/wp-content/uploads/elementor/css/post-8.css?ver=1750360373	/home/ali/websites/haleef/thehaleef.com/wp-content/uploads/elementor/css/post-88c24.css	(from https://thehaleef.com/)
23:10:49	254/254	---M-Z	200	added ('OK')	text/css	etag:%22fe-636c2baf26bbd-gzip%22	https://thehaleef.com/wp-content/plugins/elementor/assets/css/widget-image.min.css?ver=3.29.2	/home/ali/websites/haleef/thehaleef.com/wp-content/plugins/elementor/assets/css/widget-image.min2801.css	(from https://thehaleef.com/)
23:10:50	77/77	---M-Z	200	added ('OK')	text/css	etag:%224d-636c2bd4966dd-gzip%22	https://thehaleef.com/wp-content/plugins/elementor/assets/lib/animations/styles/fadeIn.min.css?ver=3.29.2	/home/ali/websites/haleef/thehaleef.com/wp-content/plugins/elementor/assets/lib/animations/styles/fadeIn.min2801.css	(from https://thehaleef.com/)
23:10:51	19776/19776	---M-Z	200	added ('OK')	text/css	etag:%224d40-636d6d8a17668-gzip%22	https://thehaleef.com/wp-content/plugins/elementor-pro/assets/css/widget-mega-menu.min.css?ver=3.29.2	/home/ali/websites/haleef/thehaleef.com/wp-content/plugins/elementor-pro/assets/css/widget-mega-menu.min2801.css	(from https://thehaleef.com/)
23:10:52	162/162	---M-Z	200	added ('OK')	text/css	etag:%22a2-636d6d8a677af-gzip%22	https://thehaleef.com/wp-content/plugins/elementor-pro/assets/css/modules/sticky.min.css?ver=3.29.2	/home/ali/websites/haleef/thehaleef.com/wp-content/plugins/elementor-pro/assets/css/modules/sticky.min2801.css	(from https://thehaleef.com/)
23:10:53	198/198	---M-Z	200	added ('OK')	text/css	etag:%22c6-636c2bd441b5d-gzip%22	https://thehaleef.com/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-grow.min.css?ver=3.29.2	/home/ali/websites/haleef/thehaleef.com/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-grow.min2801.css	(from https://thehaleef.com/)
23:10:54	137/137	---M-Z	200	added ('OK')	text/css	etag:%2289-636c2bd494b84-gzip%22	https://thehaleef.com/wp-content/plugins/elementor/assets/lib/animations/styles/fadeInLeft.min.css?ver=3.29.2	/home/ali/websites/haleef/thehaleef.com/wp-content/plugins/elementor/assets/lib/animations/styles/fadeInLeft.min2801.css	(from https://thehaleef.com/)
23:10:55	3154/3154	---M-Z	200	added ('OK')	text/css	etag:%22c52-636d6d89b1977-gzip%22	https://thehaleef.com/wp-content/plugins/elementor-pro/assets/css/widget-off-canvas.min.css?ver=3.29.2	/home/ali/websites/haleef/thehaleef.com/wp-content/plugins/elementor-pro/assets/css/widget-off-canvas.min2801.css	(from https://thehaleef.com/)
23:10:56	600/600	---M-Z	200	added ('OK')	text/css	etag:%22258-636c2baf08373-gzip%22	https://thehaleef.com/wp-content/plugins/elementor/assets/css/widget-heading.min.css?ver=3.29.2	/home/ali/websites/haleef/thehaleef.com/wp-content/plugins/elementor/assets/css/widget-heading.min2801.css	(from https://thehaleef.com/)
23:10:57	6798/6798	---M-Z	200	added ('OK')	text/css	etag:%221a8e-636d6d89e78c4-gzip%22	https://thehaleef.com/wp-content/plugins/elementor-pro/assets/css/widget-form.min.css?ver=3.29.2	/home/ali/websites/haleef/thehaleef.com/wp-content/plugins/elementor-pro/assets/css/widget-form.min2801.css	(from https://thehaleef.com/)
23:10:58	10310/10310	---M-Z	200	added ('OK')	text/css	etag:%222846-636c2baf13724-gzip%22	https://thehaleef.com/wp-content/plugins/elementor/assets/css/widget-icon-list.min.css?ver=3.29.2	/home/ali/websites/haleef/thehaleef.com/wp-content/plugins/elementor/assets/css/widget-icon-list.min2801.css	(from https://thehaleef.com/)
23:10:59	5150/5150	---M-Z	200	added ('OK')	text/css	etag:%22141e-636c2baf71ee4-gzip%22	https://thehaleef.com/wp-content/plugins/elementor/assets/css/widget-social-icons.min.css?ver=3.29.2	/home/ali/websites/haleef/thehaleef.com/wp-content/plugins/elementor/assets/css/widget-social-icons.min2801.css	(from https://thehaleef.com/)
